case_id,account_id,free_text_note,typology_label,created_at
CASE00000,ACC001144,"Multiple cash deposits just below the NAD 10,000 threshold over 3 days.",structuring,2026-09-14 15:43:40
CASE00001,ACC000878,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:30
CASE00002,ACC003862,Login from New Michaelbury followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:42:39
CASE00003,ACC000846,Funds received from 10 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:42
CASE00004,ACC002489,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:15
CASE00005,ACC001090,Account linked to 12 other accounts sharing device DEV002997.,mule_network,2026-09-14 15:41:47
CASE00006,ACC000270,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:35
CASE00007,ACC003968,"Multiple cash deposits just below the NAD 10,000 threshold over 10 days.",structuring,2026-09-14 15:43:01
CASE00008,ACC003049,Account linked to 5 other accounts sharing device DEV001934.,mule_network,2026-09-14 15:44:49
CASE00009,ACC000501,"Multiple cash deposits just below the NAD 50,000 threshold over 6 days.",structuring,2026-09-14 15:42:02
CASE00010,ACC000465,"Customer made 10 transfers of NAD 81108 each, consistent with structuring.",structuring,2026-09-14 15:46:00
CASE00011,ACC002570,MFA challenged 4 times within 36 minutes from new device.,account_takeover,2026-09-14 15:42:29
CASE00012,ACC002991,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:45:11
CASE00013,ACC003137,"Customer made 5 transfers of NAD 78595 each, consistent with structuring.",structuring,2026-09-14 15:43:02
CASE00014,ACC004304,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:08
CASE00015,ACC004445,Account linked to 2 other accounts sharing device DEV001702.,mule_network,2026-09-14 15:44:05
CASE00016,ACC000711,"Customer made 11 transfers of NAD 83290 each, consistent with structuring.",structuring,2026-09-14 15:45:07
CASE00017,ACC002462,"Customer made 10 transfers of NAD 68977 each, consistent with structuring.",structuring,2026-09-14 15:40:19
CASE00018,ACC000794,Funds received from 7 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:42:06
CASE00019,ACC002329,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:40:25
CASE00020,ACC002220,Login from North Jeannehaven followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:41:14
CASE00021,ACC004057,"Multiple cash deposits just below the NAD 50,000 threshold over 12 days.",structuring,2026-09-14 15:45:32
